NO,허가일자,상호,설비용량(KW),설치장소,상태,사업개시일,데이터기준일자
1,2006-03-03,오복산전,59.87,제주특별자치도 제주시 한경면 신창리 760번지 2호,사업개시,2006-07-11,2024-06-30
2,2006-08-24,오복산전 3호,29.52,제주특별자치도 제주시 한경면 신창리 760번지 3호,사업개시,2006-09-25,2024-06-30
3,2007-01-05,민솔라에너지,90.72,제주특별자치도 제주시 조천읍 대흘리 110번지 4호,사업개시,2007-04-04,2024-06-30
4,2007-02-21,(주)도암엔지니어링건축사사무소,3,제주특별자치도 제주시 한경면 일주서로 4716-8,사업개시,2007-02-27,2024-06-30
5,2007-02-21,제주에너지 주식회사,200,제주특별자치도 서귀포시 성산읍 신산리 1960번지,사업개시,2008-09-29,2024-06-30
6,2007-02-21,제주에너지 주식회사,200,제주특별자치도 제주시 애월읍 고성리 1589번지 2호,사업개시,2008-04-18,2024-06-30
7,2007-05-03,보타리에너지주식회사,30,제주특별자치도 제주시 애월읍 봉성리 1311번지 1호,사업개시,2007-08-06,2024-06-30
8,2007-06-25,화경,45.36,제주특별자치도 제주시 조천읍 대흘리 110번지 4호,사업개시,2007-09-05,2024-06-30
9,2007-06-25,레소토3발전소,98.4,제주특별자치도 제주시 한경면 고산리 811번지 2호 .811-3번지,사업개시,2008-09-24,2024-06-30
10,2007-06-25,레소토2발전소,180,제주특별자치도 제주시 한경면 고산리 810번지 .811-1번지,사업개시,2008-09-30,2024-06-30
11,2007-12-14,번내태양광발전주식회사,90.72,제주특별자치도 서귀포시 안덕면 화순리 2045번지 2호,사업개시,2008-05-13,2024-06-30
12,2007-12-14,번내태양광발전주식회사,90.72,제주특별자치도 서귀포시 안덕면 화순리 1961번지,사업개시,2008-05-13,2024-06-30
13,2007-12-26,제주태양에너지발전주식회사,1000,제주특별자치도 서귀포시 성산읍 난고로 342-64,사업개시,2009-02-26,2024-06-30
14,2007-12-28,(유)케이엔디태양광발전소,80,제주특별자치도 제주시 한경면 두모리 1583번지 1호,사업개시,2008-04-21,2024-06-30
15,2007-12-28,민솔라에너지,90.72,제주특별자치도 제주시 조천읍 대흘리 110번지 57호,사업개시,2011-01-06,2024-06-30
16,2007-12-31,한국중부발전(주),50,제주특별자치도 제주시 원당로 133 (삼양일동),사업개시,2008-02-13,2024-06-30
17,2008-01-10,대명쏠라파크주식회사,194.4,제주특별자치도 서귀포시 표선면 가시리 2611번지 외 1필지,사업개시,2009-08-28,2024-06-30
18,2008-01-10,복미태양광발전주식회사,99.9,제주특별자치도 서귀포시 남원읍 남조로 699-38,사업개시,2009-09-21,2024-06-30
19,2008-02-01,레소토1발전소,98.4,제주특별자치도 제주시 한경면 판포리 56번지 3호,사업개시,2008-09-09,2024-06-30
20,2008-02-26,봉성태양광발전소,28.8,제주특별자치도 제주시 애월읍 봉성리 3928번지 1호,사업개시,2008-09-11,2024-06-30
21,2008-04-18,제주에너지주식회사,300,제주특별자치도 제주시 애월읍 고성리 1589번지 7호,사업개시,2008-09-29,2024-06-30
22,2008-12-05,오복산전 2호,5.02,제주특별자치도 제주시 애월읍 곽납로 87,사업개시,2009-02-25,2024-06-30
23,2009-01-19,(주)업스톤 해오름태양광발전소,194.4,제주특별자치도 서귀포시 성산읍 일주동로 5311,사업개시,2009-11-19,2024-06-30
24,2009-02-05,주식회사 창도산업,194.4,제주특별자치도 서귀포시 성산읍 중산간동로 3622-38,사업개시,2009-08-28,2024-06-30
